datetime, generalTweets, generalAccounts, voiceTweets, voiceAccounts
2020-05-05-07-00-00,194488,36435,187964,36435
2020-05-05-08-00-00,194488,36435,187964,36435
2020-05-05-09-00-00,194914,36472,188451,36472
2020-05-05-10-00-00,194914,36472,188451,36472
2020-05-05-11-00-00,195449,36526,189012,36526
2020-05-05-12-00-00,195449,36526,189012,36526
2020-05-05-13-00-00,196056,36586,189600,36586
2020-05-05-14-00-00,196056,36586,189600,36586
2020-05-05-15-00-00,196568,36636,190133,36636
2020-05-05-16-00-00,196568,36636,190133,36636
2020-05-05-17-00-00,197137,36698,190713,36698
2020-05-05-18-00-00,197137,36698,190713,36698
2020-05-05-19-00-00,197652,36749,191220,36749
2020-05-05-20-00-00,197652,36749,191220,36749
2020-05-05-21-00-00,198597,36830,192193,36830
2020-05-05-22-00-00,198597,36830,192193,36830
2020-05-05-23-00-00,200234,36936,193870,36936
2020-05-06-00-00-00,200234,36936,193870,36936
2020-05-06-01-00-00,201771,37083,195430,37083
2020-05-06-02-00-00,201771,37083,195430,37083
2020-05-06-03-00-00,202172,37138,195864,37138
2020-05-06-04-00-00,202172,37138,195864,37138
2020-05-06-05-00-00,202321,37162,196022,37162
2020-05-06-06-00-00,202321,37162,196022,37162
2020-05-06-07-00-00,202524,37185,196216,37185
2020-05-06-08-00-00,202524,37185,196216,37185
2020-05-06-09-00-00,202945,37220,196621,37220
2020-05-06-10-00-00,202945,37220,196621,37220
2020-05-06-11-00-00,203455,37262,197109,37262
2020-05-06-12-00-00,203455,37262,197109,37262
2020-05-06-13-00-00,203978,37318,197660,37318
2020-05-06-14-00-00,203978,37318,197660,37318
2020-05-06-15-00-00,204367,37364,198113,37364
2020-05-06-16-00-00,204367,37364,198113,37364
2020-05-06-17-00-00,204951,37423,198749,37423
2020-05-06-18-00-00,204951,37423,198749,37423
2020-05-06-19-00-00,205426,37467,199235,37467
2020-05-06-20-00-00,205426,37467,199235,37467
2020-05-06-21-00-00,206361,37551,200209,37551
2020-05-06-22-00-00,206361,37551,200209,37551
2020-05-06-23-00-00,208185,37653,201661,37653
2020-05-07-00-00-00,208185,37653,201661,37653
2020-05-07-01-00-00,209673,37798,203004,37798
2020-05-07-02-00-00,209673,37798,203004,37798
2020-05-07-03-00-00,210086,37847,203377,37847
2020-05-07-04-00-00,210086,37847,203377,37847
2020-05-07-05-00-00,210216,37863,203492,37863
2020-05-07-06-00-00,210216,37863,203492,37863
2020-05-07-07-00-00,210448,37888,203753,37888
2020-05-07-08-00-00,210448,37888,203753,37888
2020-05-07-09-00-00,210905,37916,204208,37916
2020-05-07-10-00-00,210905,37916,204208,37916
2020-05-07-11-00-00,211218,37952,204509,37952
2020-05-07-12-00-00,211218,37952,204509,37952
2020-05-07-13-00-00,211691,37989,204943,37989
2020-05-07-14-00-00,211691,37989,204943,37989
2020-05-07-15-00-00,211987,38028,205264,38028
2020-05-07-16-00-00,211987,38028,205264,38028
2020-05-07-17-00-00,212428,38070,205727,38070
2020-05-07-18-00-00,212428,38070,205727,38070
2020-05-07-19-00-00,212922,38117,206208,38117
2020-05-07-20-00-00,212922,38117,206208,38117
2020-05-07-21-00-00,214081,38218,207494,38218
2020-05-07-22-00-00,214081,38218,207494,38218
2020-05-07-23-00-00,216119,38345,209329,38345
2020-05-08-00-00-00,216119,38345,209329,38345
2020-05-08-01-00-00,217526,38478,210761,38478
2020-05-08-02-00-00,217526,38478,210761,38478
2020-05-08-03-00-00,217873,38530,211120,38530
2020-05-08-04-00-00,217873,38530,211120,38530
2020-05-08-05-00-00,218035,38543,211237,38543
2020-05-08-06-00-00,218035,38543,211237,38543
2020-05-08-07-00-00,218242,38562,211458,38562
2020-05-08-08-00-00,218242,38562,211458,38562
2020-05-08-09-00-00,218762,38610,212058,38610
2020-05-08-10-00-00,218762,38610,212058,38610
2020-05-08-11-00-00,219078,38643,212384,38643
2020-05-08-12-00-00,219078,38643,212384,38643
2020-05-08-13-00-00,219425,38671,212754,38671
2020-05-08-14-00-00,219425,38671,212754,38671
2020-05-08-15-00-00,219692,38712,213037,38712
2020-05-08-16-00-00,219692,38712,213037,38712
2020-05-08-17-00-00,220004,38739,213311,38739
2020-05-08-18-00-00,220004,38739,213311,38739
2020-05-08-19-00-00,220411,38767,213738,38767
2020-05-08-20-00-00,220411,38767,213738,38767
2020-05-08-21-00-00,221276,38821,214586,38821
2020-05-08-22-00-00,221276,38821,214586,38821
2020-05-08-23-00-00,222982,38944,216508,38944
2020-05-09-00-00-00,222982,38944,216508,38944
2020-05-09-01-00-00,224523,39078,219283,39078
2020-05-09-02-00-00,224523,39078,219283,39078
2020-05-09-03-00-00,224917,39114,220187,39114
2020-05-09-04-00-00,224917,39114,220187,39114
2020-05-09-05-00-00,225118,39130,220339,39130
2020-05-09-06-00-00,225118,39130,220339,39130
2020-05-09-07-00-00,225363,39152,220565,39152
2020-05-09-08-00-00,225363,39152,220565,39152
2020-05-09-09-00-00,225708,39189,220950,39189
2020-05-09-10-00-00,225708,39189,220950,39189
2020-05-09-11-00-00,226144,39222,221364,39222
2020-05-09-12-00-00,226144,39222,221364,39222
2020-05-09-13-00-00,226637,39262,221887,39262
2020-05-09-14-00-00,226637,39262,221887,39262
2020-05-09-15-00-00,227013,39300,222341,39300
2020-05-09-16-00-00,227013,39300,222341,39300
2020-05-09-17-00-00,227636,39382,223144,39382
2020-05-09-18-00-00,227636,39382,223144,39382
2020-05-09-19-00-00,228303,39448,223856,39448
2020-05-09-20-00-00,228303,39448,223856,39448
2020-05-09-21-00-00,229232,39530,224885,39530
2020-05-09-22-00-00,229232,39530,224885,39530
2020-05-09-23-00-00,231871,39668,226563,39668
2020-05-10-00-00-00,231871,39668,226563,39668
2020-05-10-01-00-00,234968,39822,228326,39822
2020-05-10-02-00-00,234968,39822,228326,39822
2020-05-10-03-00-00,235906,39890,228836,39890
2020-05-10-04-00-00,235906,39890,228836,39890
2020-05-10-05-00-00,236128,39907,229023,39907
2020-05-10-06-00-00,236128,39907,229023,39907
2020-05-10-07-00-00,236350,39928,229229,39928
2020-05-10-08-00-00,236350,39928,229229,39928
2020-05-10-09-00-00,236719,39960,229587,39960
2020-05-10-10-00-00,236719,39960,229587,39960
2020-05-10-11-00-00,237293,40017,230208,40017
2020-05-10-12-00-00,237293,40017,230208,40017
2020-05-10-13-00-00,237895,40076,230860,40076
2020-05-10-14-00-00,237895,40076,230860,40076
2020-05-10-15-00-00,238458,40117,231411,40117
2020-05-10-16-00-00,238458,40117,231411,40117
2020-05-10-17-00-00,239183,40168,232044,40168
2020-05-10-18-00-00,239183,40168,232044,40168
2020-05-10-19-00-00,240279,40259,233091,40259
2020-05-10-20-00-00,240290,40261,233107,40261
2020-05-10-21-00-00,241096,40316,233772,40316
2020-05-10-22-00-00,241096,40316,233772,40316
2020-05-10-23-00-00,243638,40499,235947,40499
2020-05-11-00-00-00,243638,40499,235947,40499
2020-05-11-01-00-00,245377,40676,237662,40676
2020-05-11-02-00-00,245377,40676,237662,40676
2020-05-11-03-00-00,245806,40732,238054,40732
2020-05-11-04-00-00,245806,40732,238054,40732
2020-05-11-05-00-00,245964,40749,238195,40749
2020-05-11-06-00-00,245964,40749,238195,40749
2020-05-11-07-00-00,246248,40760,238438,40760
2020-05-11-08-00-00,246248,40760,238438,40760
2020-05-11-09-00-00,246712,40800,238912,40800
2020-05-11-10-00-00,246712,40800,238912,40800
2020-05-11-11-00-00,247163,40847,239315,40847
2020-05-11-12-00-00,247163,40847,239315,40847
2020-05-11-13-00-00,247677,40900,239829,40900
2020-05-11-14-00-00,247677,40900,239829,40900
2020-05-11-15-00-00,248047,40936,240236,40936
2020-05-11-16-00-00,248047,40936,240236,40936
